run_id,group,mode,t_end,dt,stim_amp,stim_start,pulse_width,pulse_period,pulse_count,D_cAMP,V_PDE,save_every,time_to_peak,peak_cAMP,final_cAMP,peak_max_cAMP,final_max_cAMP,final_min_cAMP,peak_gradient_index,final_gradient_index,timecourse_csv
A_continuous_baseline,A_continuous_baseline,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,2.0,1,2.0,5.0620904270792195,5.0620904270792195,12.075781760370605,12.075781760370605,0.3562412162825286,2.8024474583273298,2.3151582756000164,results\timecourses\A_continuous_baseline.csv
B_single_pulse_width_0.1s,B_single_pulse_width,single_pulse,2.0,0.05,1.0,0.25,0.1,0.5,5,30.0,2.0,1,0.35000000000000003,0.3791793177635369,0.2212037128586583,1.0808524554567887,0.40030842440628417,0.06844620131319633,2.6365800652738183,1.5002561159772962,results\timecourses\B_single_pulse_width_0.1s.csv
B_single_pulse_width_0.25s,B_single_pulse_width,single_pulse,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,2.0,1,0.5,0.8129424605492442,0.6135157403035036,2.3516208782144585,1.1765628080641883,0.13526446483600665,2.8014470023382194,1.6972642669494606,results\timecourses\B_single_pulse_width_0.25s.csv
B_single_pulse_width_0.5s,B_single_pulse_width,single_pulse,2.0,0.05,1.0,0.25,0.5,0.5,5,30.0,2.0,1,0.75,1.530861864155709,1.3305752102618251,4.299983042865542,2.631944928669492,0.23544240936835345,2.8024474583273298,1.801102636527825,results\timecourses\B_single_pulse_width_0.5s.csv
C_pulse_train_period_0.25s,C_pulse_train_period,pulse_train,2.0,0.05,1.0,0.25,0.25,0.25,5,30.0,2.0,1,1.5,3.659706538040266,3.562746898196653,9.296873744738233,7.846227817610567,0.354593180584825,2.8024474583273298,2.1027692539197114,results\timecourses\C_pulse_train_period_0.25s.csv
C_pulse_train_period_0.5s,C_pulse_train_period,pulse_train,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,2.0,1,2.0,2.8335686582907815,2.8335686582907815,6.795146385194547,6.795146385194547,0.21287793180324693,2.8014470023382194,2.322960636274735,results\timecourses\C_pulse_train_period_0.5s.csv
C_pulse_train_period_1s,C_pulse_train_period,pulse_train,2.0,0.05,1.0,0.25,0.25,1.0,5,30.0,2.0,1,1.5,1.430987419357616,1.3516963849661452,3.694478296150098,3.059853758445721,0.14690195004443374,2.8014470023382194,2.1550341044037378,results\timecourses\C_pulse_train_period_1s.csv
D_diffusion_5,D_diffusion_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,5.0,2.0,1,2.0,5.1192494141667035,5.1192494141667035,15.6116135302088,15.6116135302088,0.028466437357012462,3.2960316269876744,3.0440296676555594,results\timecourses\D_diffusion_5.csv
D_diffusion_10,D_diffusion_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,10.0,2.0,1,2.0,5.104239969337456,5.104239969337456,14.534379624214797,14.534379624214797,0.0354119021573184,3.114948584734785,2.8405732898838383,results\timecourses\D_diffusion_10.csv
D_diffusion_20,D_diffusion_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,20.0,2.0,1,2.0,5.08049563832184,5.08049563832184,13.138745354144614,13.138745354144614,0.1326982440868249,2.915993812595675,2.55999572403016,results\timecourses\D_diffusion_20.csv
D_diffusion_30,D_diffusion_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,2.0,1,2.0,5.0620904270792195,5.0620904270792195,12.075781760370605,12.075781760370605,0.3562412162825286,2.8024474583273298,2.3151582756000164,results\timecourses\D_diffusion_30.csv
D_diffusion_50,D_diffusion_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,50.0,2.0,1,2.0,5.036498322071154,5.036498322071154,10.555006178751897,10.555006178751897,0.9598497691383063,2.66449184554533,1.90512451231549,results\timecourses\D_diffusion_50.csv
E_pde_1,E_pde_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,1.0,1,2.0,5.200531598139742,5.200531598139742,12.260195658257953,12.260195658257953,0.4330337359468663,2.7639113814679663,2.274221721206679,results\timecourses\E_pde_1.csv
E_pde_2,E_pde_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,2.0,1,2.0,5.0620904270792195,5.0620904270792195,12.075781760370605,12.075781760370605,0.3562412162825286,2.8024474583273298,2.3151582756000164,results\timecourses\E_pde_2.csv
E_pde_5,E_pde_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,5.0,1,2.0,4.6797624567948795,4.6797624567948795,11.531657750161427,11.531657750161427,0.1932574489890283,2.908692414604547,2.4228580843263465,results\timecourses\E_pde_5.csv
E_pde_10,E_pde_sweep,continuous,2.0,0.05,1.0,0.25,0.25,0.5,5,30.0,10.0,1,2.0,4.125830469629578,4.125830469629578,10.652165334778482,10.652165334778482,0.06711216754465457,3.055717853787389,2.56555698183696,results\timecourses\E_pde_10.csv
